airport_name,city,country,IATA,latitude,longitude,continent_code,continent,airport
Merced Regional Macready Field,Merced,United States,MCE,37.28469849,-120.5139999,NA,North America,Merced (MCE)
Toowoomba Airport,Toowoomba,Australia,TWB,-27.542801,151.916,OC,Oceania,Toowoomba (TWB)
Angoon Seaplane Base,Angoon,United States,AGN,57.503601,-134.585007,NA,North America,Angoon (AGN)
Elfin Cove Seaplane Base,Elfin Cove,United States,ELV,58.1952018738,-136.347000122,NA,North America,Elfin Cove (ELV)
Hoonah Airport,Hoonah,United States,HNH,58.0961,-135.410111,NA,North America,Hoonah (HNH)
Metlakatla Seaplane Base,Metakatla,United States,MTM,55.131001,-131.578003,NA,North America,Metakatla (MTM)
Hydaburg Seaplane Base,Hydaburg,United States,HYG,55.206298828125,-132.8280029296875,NA,North America,Hydaburg (HYG)
Egegik Airport,Egegik,United States,EGX,58.1855010986,-157.375,NA,North America,Egegik (EGX)
Perryville Airport,Perryville,United States,KPV,55.905998,-159.162993,NA,North America,Perryville (KPV)
Pilot Point Airport,Pilot Point,United States,PIP,57.5803985596,-157.572006226,NA,North America,Pilot Point (PIP)
South Naknek Nr 2 Airport,South Naknek,United States,WSN,58.7033996582,-157.007995605,NA,North America,South Naknek (WSN)
Akhiok Airport,Akhiok,United States,AKK,56.9387016296,-154.182998657,NA,North America,Akhiok (AKK)
Karluk Airport,Karluk,United States,KYK,57.5671005249,-154.449996948,NA,North America,Karluk (KYK)
Larsen Bay Airport,Larsen Bay,United States,KLN,57.5350990295,-153.977996826,NA,North America,Larsen Bay (KLN)
Ambler Airport,Ambler,United States,ABL,67.1063,-157.856989,NA,North America,Ambler (ABL)
